iter	Passed	Remaining
0	136	13504
1	147	7231
2	155	5032
3	163	3931
4	172	3285
5	180	2826
6	187	2492
7	194	2240
8	202	2044
9	208	1876
10	215	1740
11	222	1629
12	229	1534
13	235	1447
14	242	1372
15	248	1305
16	255	1245
17	261	1191
18	267	1141
19	274	1096
20	280	1053
21	286	1015
22	293	981
23	299	947
24	305	917
25	311	886
26	317	858
27	323	831
28	329	805
29	335	782
30	343	764
31	348	741
32	354	719
33	359	698
34	365	678
35	370	659
36	376	641
37	382	624
38	388	608
39	394	591
40	400	576
41	406	561
42	412	546
43	417	531
44	424	518
45	430	504
46	435	491
47	441	478
48	447	465
49	453	453
50	459	441
51	465	429
52	471	417
53	476	406
54	483	395
55	489	384
56	495	374
57	500	362
58	506	351
59	513	342
60	519	332
61	525	322
62	531	312
63	537	302
64	543	292
65	549	282
66	555	273
67	561	264
68	567	254
69	573	245
70	579	236
71	585	227
72	591	218
73	597	209
74	603	201
75	609	192
76	615	183
77	620	175
78	626	166
79	632	158
80	638	149
81	644	141
82	650	133
83	656	125
84	662	116
85	668	108
86	674	100
87	680	92
88	686	84
89	692	76
90	698	69
91	706	61
92	713	53
93	720	45
94	727	38
95	752	31
96	765	23
97	782	15
98	796	8
99	803	0
